Rk,Name,Orig Tm,First Year,Last Year,Years,Total Value,Avg Annual Value,Summary,WAR,WAR/yr,Name-additional
1,Mike Trout,LAA,2019,2030,12,"$426,500,000 ","$35,541,667 ",12 yrs/$426.5M (19-30),20.6,3.4,troutmi01
2,Mookie Betts,LAD,2021,2032,12,"$365,000,000 ","$30,416,667 ",12 yrs/$365M (21-32),19,4.8,bettsmo01
3,Aaron Judge,NYY,2023,2031,9,"$360,000,000 ","$40,000,000 ",9 yrs/$360M (23-31),4.5,2.2,judgeaa01
4,Manny Machado,SDP,2023,2033,11,"$350,000,000 ","$31,818,182 ",11 yrs/$350M (23-33),2.9,1.4,machama01
5,Francisco Lindor,NYM,2022,2031,10,"$341,000,000 ","$34,100,000 ",10 yrs/$341M (22-31),11.6,3.9,lindofr01
6,Fernando Tatis Jr.,SDP,2021,2034,14,"$340,000,000 ","$24,285,714 ",14 yrs/$340M (21-34),12.1,3,tatisfe02
7,Bryce Harper,PHI,2019,2031,13,"$330,000,000 ","$25,384,615 ",13 yrs/$330M (19-31),18.5,3.1,harpebr03
8,Corey Seager,TEX,2022,2031,10,"$325,000,000 ","$32,500,000 ",10 yrs/$325M (22-31),10.7,3.6,seageco01
9,Giancarlo Stanton,MIA,2015,2027,13,"$325,000,000 ","$25,000,000 ",13 yrs/$325M (15-27) & 28 team option,22.4,2.2,stantmi03
10,Gerrit Cole,NYY,2020,2028,9,"$324,000,000 ","$36,000,000 ",9 yrs/$324M (20-28),17.9,3.6,colege01
11,Rafael Devers,BOS,2024,2033,10,"$313,500,000 ","$31,350,000 ",10 yrs/$313.5M (24-33),0,0,deverra01
12,Trea Turner,PHI,2023,2033,11,"$300,000,000 ","$27,272,727 ",11 yrs/$300M (23-33),3.4,1.7,turnetr01
13,Shohei Ohtani,LAD,2024,2033,10,"$282,169,440 ","$28,216,944 ",10 yrs/$282.17M (24-33),0,0,ohtansh01
14,Xander Bogaerts,SDP,2023,2033,11,"$280,000,000 ","$25,454,545 ",11 yrs/$280M (23-33),4.4,2.2,bogaexa01
15,Nolan Arenado,COL,2019,2027,9,"$275,000,000 ","$30,555,556 ",9 yrs/$275M (19-27),22.8,3.8,arenano01
16,Alex Rodriguez,TEX,2001,2010,10,"$252,000,000 ","$25,200,000 ",10 yrs/$252M (01-10),71.5,7.2,rodrial01
17,Stephen Strasburg,WSN,2020,2026,7,"$245,000,000 ","$35,000,000 ",7 yrs/$245M (20-26),-0.4,-0.1,strasst01
18,Anthony Rendon,LAA,2020,2026,7,"$244,999,998 ","$35,000,000 ",7 yrs/$245M (20-26),3.1,0.6,rendoan01
19,Miguel Cabrera,DET,2016,2023,8,"$240,000,000 ","$30,000,000 ",8 yrs/$240M (16-23),2.4,0.3,cabremi01
20,Albert Pujols,LAA,2012,2021,10,"$240,000,000 ","$24,000,000 ",10 yrs/$240M (12-21),12.8,1.3,pujolal01
21,Alex Rodriguez,NYY,2008,2016,9,"$231,868,852 ","$25,763,206 ",9 yrs/$231.87M (08-16),23.1,2.6,rodrial01
22,Justin Verlander,DET,2010,2019,10,"$219,500,000 ","$21,950,000 ",10 yrs/$219.5M (10-19),56.6,5.7,verlaju01
23,Joey Votto,CIN,2014,2023,10,"$218,000,000 ","$21,800,000 ",10 yrs/$218M (14-23),30.2,3,vottojo01
24,David Price,BOS,2016,2022,7,"$217,000,000 ","$31,000,000 ",7 yrs/$217M (16-22),11.2,1.6,priceda01
25,Christian Yelich,MIL,2020,2028,9,"$215,000,000 ","$23,888,889 ",9 yrs/$215M (20-28) & 29 mutual option,7.9,1.6,yelicch01
26,Austin Riley,ATL,2023,2032,10,"$212,000,000 ","$21,200,000 ",10 yrs/$212M (23-32) & 33 team option,5.9,3,rileyau01
27,Zack Greinke,ARI,2016,2021,6,"$206,500,000 ","$34,416,667 ",6 yrs/$206.5M (16-21),22,3.7,greinza01
28,CC Sabathia,NYY,2009,2017,9,"$202,000,000 ","$22,444,444 ",9 yrs/$202M (09-17),26.9,3,sabatc.01
29,Carlos Correa,MIN,2023,2028,6,"$200,000,000 ","$33,333,333 ",6 yrs/$200M (23-28) & 29-32 team option,1.4,0.7,correca01
30,Max Scherzer,WSN,2015,2021,7,"$191,401,086 ","$27,343,012 ",7 yrs/$191.4M (15-21),42.7,6.1,scherma01
31,Derek Jeter,NYY,2001,2010,10,"$189,000,000 ","$18,900,000 ",10 yrs/$189M (01-10),41.2,4.1,jeterde01
32,Jacob deGrom,TEX,2023,2027,5,"$185,000,000 ","$37,000,000 ",5 yrs/$185M (23-27) & 28 mutual option,0.8,0.4,degroja01
33,Joe Mauer,MIN,2011,2018,8,"$184,000,000 ","$23,000,000 ",8 yrs/$184M (11-18),22,2.8,mauerjo01
34,Kris Bryant,COL,2022,2028,7,"$182,000,000 ","$26,000,000 ",7 yrs/$182M (22-28),-0.6,-0.2,bryankr01
35,Wander Franco,TBR,2022,2032,11,"$182,000,000 ","$16,545,455 ",11 yrs/$182M (22-32) & 33 team option,8.1,2.7,francwa01
36,Mark Teixeira,NYY,2009,2016,8,"$180,000,000 ","$22,500,000 ",8 yrs/$180M (09-16),19.3,2.4,teixema01
37,Dansby Swanson,CHC,2023,2029,7,"$177,000,000 ","$25,285,714 ",7 yrs/$177M (23-29),4.8,2.4,swansda01
38,Félix Hernández,SEA,2013,2019,7,"$175,000,000 ","$25,000,000 ",7 yrs/$175M (13-19),15.7,2.2,hernafe02
39,Marcus Semien,TEX,2022,2028,7,"$175,000,000 ","$25,000,000 ",7 yrs/$175M (22-28),12.9,4.3,semiema01
40,Cole Hamels,PHI,2012,2019,8,"$173,000,000 ","$21,625,000 ",8 yrs/$173M (12-19),34.4,4.3,hamelco01
41,Aaron Nola,PHI,2024,2030,7,"$172,000,003 ","$24,571,429 ",7 yrs/$172M (24-30),0,0,nolaaa01
42,Matt Olson,ATL,2022,2029,8,"$168,000,000 ","$21,000,000 ",8 yrs/$168M (22-29) & 30 team option,10.7,3.6,olsonma02
43,David Wright,NYM,2007,2018,12,"$165,000,000 ","$13,750,000 ",12 yrs/$165M (07-18),38.2,3.2,wrighda03
44,Buster Posey,SFG,2013,2021,9,"$164,400,001 ","$18,266,667 ",9 yrs/$164.4M (13-21),32.2,3.6,poseybu01
45,José Altuve,HOU,2018,2024,7,"$163,500,000 ","$23,357,143 ",7 yrs/$163.5M (18-24),21.2,3,altuvjo01
46,Freddie Freeman,LAD,2022,2027,6,"$162,000,000 ","$27,000,000 ",6 yrs/$162M (22-27),12.8,4.3,freemfr01
47,Jason Heyward,CHC,2016,2022,7,"$162,000,000 ","$23,142,857 ",7 yrs/$162M (16-22),8.9,1.3,heywaja01
48,Brandon Nimmo,NYM,2023,2030,8,"$162,000,000 ","$20,250,000 ",8 yrs/$162M (23-30),3.9,1.9,nimmobr01
49,Carlos Rodón,NYY,2023,2028,6,"$162,000,000 ","$27,000,000 ",6 yrs/$162M (23-28),-0.8,-0.4,rodonca01
50,Chris Davis,BAL,2016,2022,7,"$161,000,000 ","$23,000,000 ",7 yrs/$161M (16-22),-2.7,-0.4,davisch02